t_src_ms,t_host_s,seq,des_pitch,des_roll
27510,11.7190,58,-0.0,-0.0
27710,11.9060,59,-0.0,-0.0
27910,12.1090,60,-0.0,-0.0
28110,12.3120,61,-0.0,-0.0
28310,12.5150,62,-0.0,-0.0
28510,12.7190,63,-0.0,-0.0
28710,12.9060,64,-0.0,-0.0
28910,13.1090,65,-0.0,-0.0
29110,13.3120,66,-0.0,-0.0
29310,13.5150,67,-0.0,-0.0
29510,13.7190,68,-0.0,-0.0
29710,13.9060,69,-0.0,-0.0
29910,14.1090,70,-0.0,-0.0
30110,14.3120,71,-0.0,-0.0
30310,14.5150,72,-0.0,-0.0
30510,14.7190,73,-0.0,-0.0
30710,14.9060,74,-0.0,-0.0
30910,15.1090,75,-0.0,-0.0
31110,15.3120,76,-0.0,-0.0
31310,15.5150,77,-0.0,-0.0
31510,15.7190,78,-0.0,-0.0
31710,15.9060,79,-0.0,-0.0
31910,16.1090,80,-0.0,-0.0
32110,16.3120,81,-0.0,-0.0
32310,16.5150,82,-0.0,-0.0
32510,16.7190,83,-0.0,-0.0
32710,16.9060,84,-0.0,-0.0
32910,17.1090,85,-0.0,-0.0
33110,17.3120,86,-0.0,-0.0
33310,17.5150,87,-0.0,-0.0
33510,17.7190,88,-0.0,-0.0
33710,17.9060,89,-0.0,-0.0
33910,18.1090,90,-0.0,-0.0
34110,18.3120,91,-0.0,-0.0
34310,18.5150,92,-0.0,-0.0
34510,18.7190,93,-0.0,-0.0
34710,18.9060,94,-0.0,-0.0
34910,19.1090,95,-0.0,-0.0
35110,19.3120,96,-0.0,-0.0
35310,19.5150,97,-0.0,-0.0
35510,19.7190,98,-0.0,-0.0
35710,19.9060,99,-0.0,-0.0
35910,20.1090,100,-0.0,-0.0
36110,20.3120,101,-0.0,-0.0
36310,20.5150,102,-0.0,-0.0
36510,20.7190,103,-0.0,-0.0
36710,20.9060,104,-0.0,-0.0
36910,21.1090,105,-0.0,-0.0
37110,21.3120,106,-0.0,-0.0
37310,21.5150,107,-0.0,-0.0
37510,21.7190,108,-0.0,-0.0
37710,21.9060,109,-0.0,-0.0
37910,22.1090,110,-0.0,-0.0
38110,22.3120,111,-0.0,-0.0
38310,22.5150,112,-0.0,-0.0
38510,22.7190,113,-0.0,-0.0
38710,22.9060,114,-0.0,-0.0
38910,23.1090,115,-0.0,-0.0
39110,23.3120,116,-0.0,-0.0
39310,23.5150,117,-0.0,-0.0
39510,23.7190,118,-0.0,-0.0
39710,23.9060,119,-0.0,-0.0
39910,24.1090,120,-0.0,-0.0
40110,24.2970,121,-0.0,-0.0
40310,24.5000,122,-0.0,-0.0
40510,24.7190,123,-0.0,-0.0
40710,24.9060,124,-0.0,-0.0
40910,25.1090,125,-0.0,-0.0
41110,25.2970,126,-0.0,-0.0
41310,25.5150,127,-0.0,-0.0
41510,25.7030,128,-0.0,-0.0
41710,25.9060,129,-0.0,-0.0
41910,26.1090,130,-0.0,-0.0
42110,26.2970,131,-0.0,-0.0
42310,26.5000,132,-0.0,-0.0
42510,26.7030,133,-0.0,-0.0
42710,26.9060,134,-0.0,-0.0
42910,27.1090,135,-0.0,-0.0
43110,27.2970,136,-0.0,-0.0
43310,27.5000,137,-0.0,-0.0
43510,27.7030,138,-0.0,-0.0
43710,27.9060,139,-0.0,-0.0
43910,28.1090,140,-0.0,-0.0
44110,28.2970,141,-0.0,-0.0
44310,28.5000,142,-0.0,-0.0
44510,28.7030,143,-0.0,-0.0
44710,28.9060,144,-0.0,-0.0
44910,29.1090,145,-0.0,-0.0
45110,29.2970,146,-0.0,-0.0
45310,29.5310,147,-0.0,-0.0
45510,29.7030,148,-0.0,-0.0
45710,29.9060,149,-0.0,-0.0
